Date,Direction,Stock,Sentiment,Count
2/27/2020,-1,amzn,1,4
2/26/2020,1,amzn,1,2
2/25/2020,-1,amzn,0,2
2/20/2020,-1,amzn,-0.333333333,3
2/19/2020,1,amzn,0,2
2/18/2020,1,amzn,0.5,4
2/14/2020,-1,amzn,0.333333333,3
2/13/2020,1,amzn,1,4
2/12/2020,-1,amzn,1,4
2/11/2020,-1,amzn,1,12
2/10/2020,1,amzn,0.333333333,3
2/7/2020,1,amzn,1,1
2/5/2020,-1,amzn,1,1
2/4/2020,1,amzn,0.333333333,6
2/3/2020,-1,amzn,0.333333333,3
1/31/2020,-1,amzn,0.793103448,29
1/30/2020,1,amzn,0.866666667,15
1/29/2020,-1,amzn,1,2
1/28/2020,1,amzn,0,2
1/27/2020,1,amzn,0,4
1/24/2020,-1,amzn,-0.333333333,3
1/21/2020,1,amzn,0.2,5
1/17/2020,-1,amzn,1,2
1/16/2020,-1,amzn,-1,2
1/15/2020,-1,amzn,1,3
1/14/2020,-1,amzn,-0.142857143,7
1/13/2020,-1,amzn,0,2
1/10/2020,-1,amzn,-1,2
1/9/2020,-1,amzn,-1,1
1/8/2020,-1,amzn,1,1
1/7/2020,1,amzn,-0.333333333,3
1/6/2020,1,amzn,1,2
1/3/2020,1,amzn,1,1
1/2/2020,1,amzn,1,3
